Customer ID,SKU,Issue,Failure Component,Claim Date,Resolution,Repair Cost
CUST-85631,SKU-DEL-XPS15-9530,Screen Flicker / Dead Pixels,86Wh Battery Module,2023-02-15,Battery Replacement,337.26
CUST-42530,SKU-APP-IP14P-256,Thermal Throttling / Overheating,OLED Display Assembly,2022-11-08,Component Cleaned & Re-calibrated,47.4
CUST-39581,SKU-APP-MBA-M2,Wireless Connectivity Loss,MagSafe 3 Connector,2023-09-03,Component Cleaned & Re-calibrated,313.62
CUST-66207,SKU-BOS-WASH-SER8,Physical Port Corruption,Digital Touch Control Board,2022-11-01,Unit Replaced Under Warranty,220.26
CUST-23006,SKU-DEL-XPS15-9530,Water Seal Compromise,Carbon Fiber Palmrest,2023-09-17,Battery Replacement,634.67
CUST-32782,SKU-SON-WH1000-M5,Noisy Motor / Bearing Friction,Dual Noise Canceling Chips,2022-03-25,Claim Rejected - User Damage,31.44
CUST-87832,SKU-BOS-WASH-SER8,Thermal Throttling / Overheating,EcoSilence Drive Motor,2023-02-23,Battery Replacement,127.26
CUST-69510,SKU-NIN-SWITCH-OLED,Battery Drain / Rapid Discharge,Joy-Con Rail Controls,2022-10-23,Screen Assembly Swapped,66.71
CUST-35928,SKU-APP-MBA-M2,Noisy Motor / Bearing Friction,Liquid Retina Panel,2023-08-27,Claim Rejected - User Damage,266.33
CUST-44816,SKU-LG-OLED65-C3,Drifting Analog Stick,65-inch Self-lit OLED Panel,2023-10-26,Screen Assembly Swapped,91.0
CUST-84607,SKU-SAM-GS23U-512,Battery Drain / Rapid Discharge,Dynamic AMOLED 2X Screen,2022-11-11,Screen Assembly Swapped,167.22
CUST-62757,SKU-DEL-XPS15-9530,Screen Flicker / Dead Pixels,86Wh Battery Module,2023-12-07,Unit Replaced Under Warranty,218.1
CUST-15224,SKU-DEL-XPS15-9530,Drifting Analog Stick,Carbon Fiber Palmrest,2023-03-25,Unit Replaced Under Warranty,76.08
CUST-98381,SKU-LG-OLED65-C3,Water Seal Compromise,40W 2.2 Ch Speaker Array,2022-01-27,Refurbished Board Soldered,65.46
CUST-32962,SKU-CAN-EOS-R6M2,Battery Drain / Rapid Discharge,Magnesium Alloy Frame,2022-10-03,Claim Rejected - User Damage,318.31
CUST-67132,SKU-NIN-SWITCH-OLED,Physical Port Corruption,Docking Station Mainboard,2022-07-05,Refurbished Board Soldered,83.82
CUST-97835,SKU-NIN-SWITCH-OLED,Physical Port Corruption,7-inch OLED Display,2023-02-23,Refurbished Board Soldered,44.67
CUST-96846,SKU-APP-MBA-M2,Camera Sensor Artifacts,Liquid Retina Panel,2023-12-12,Unit Replaced Under Warranty,205.85
CUST-52372,SKU-LG-OLED65-C3,Battery Drain / Rapid Discharge,Magical Remote Sensor,2022-04-01,Unit Replaced Under Warranty,164.33
CUST-70552,SKU-APP-MBA-M2,Drifting Analog Stick,Magic Keyboard,2023-11-05,Battery Replacement,342.32
CUST-75338,SKU-LG-OLED65-C3,Logic Board Power Failure,65-inch Self-lit OLED Panel,2023-01-06,Component Cleaned & Re-calibrated,300.83
CUST-47752,SKU-NIN-SWITCH-OLED,Logic Board Power Failure,7-inch OLED Display,2023-07-17,Refurbished Board Soldered,32.73
CUST-41365,SKU-NIN-SWITCH-OLED,Screen Flicker / Dead Pixels,4310mAh Battery,2023-10-08,Battery Replacement,60.92
CUST-39451,SKU-SAM-GS23U-512,Drifting Analog Stick,5000mAh Battery,2023-07-20,Battery Replacement,122.51
CUST-48254,SKU-APP-MBA-M2,Screen Flicker / Dead Pixels,Magic Keyboard,2022-06-07,Claim Rejected - User Damage,206.91
CUST-82255,SKU-BOS-WASH-SER8,Wireless Connectivity Loss,AquaStop Safety Valve,2023-04-29,Unit Replaced Under Warranty,80.33
CUST-27892,SKU-SAM-GS23U-512,Logic Board Power Failure,S-Pen Digitizer,2023-06-05,Component Cleaned & Re-calibrated,203.36
CUST-10336,SKU-APP-MBA-M2,Wireless Connectivity Loss,52.6Wh Battery,2023-06-04,Refurbished Board Soldered,122.52
CUST-29476,SKU-DEL-XPS15-9530,Water Seal Compromise,4K OLED Touch Display,2023-11-07,Component Cleaned & Re-calibrated,335.92
CUST-81228,SKU-NIN-SWITCH-OLED,Physical Port Corruption,Docking Station Mainboard,2022-12-07,Refurbished Board Soldered,57.56
CUST-60196,SKU-LG-OLED65-C3,Camera Sensor Artifacts,Power Supply Unit,2023-12-16,Screen Assembly Swapped,130.79
CUST-59968,SKU-SON-WH1000-M5,Battery Drain / Rapid Discharge,30-hour Battery,2023-04-30,Refurbished Board Soldered,53.91
CUST-87356,SKU-LG-OLED65-C3,Physical Port Corruption,alpha9 AI Processor Gen6 Board,2022-05-10,Battery Replacement,247.51
CUST-12011,SKU-DYS-V15-DETECT,Physical Port Corruption,Hyperdymium Motor,2023-06-23,Battery Replacement,116.95
CUST-44737,SKU-SAM-GS23U-512,Thermal Throttling / Overheating,S-Pen Digitizer,2023-04-26,Battery Replacement,211.78
CUST-98389,SKU-DYS-V15-DETECT,Wireless Connectivity Loss,Cyclonic Dust Bin,2022-03-24,Claim Rejected - User Damage,111.03
CUST-14705,SKU-BOS-WASH-SER8,Camera Sensor Artifacts,Digital Touch Control Board,2023-05-15,Claim Rejected - User Damage,223.03
CUST-39817,SKU-CAN-EOS-R6M2,Logic Board Power Failure,24.2MP CMOS Full-Frame Sensor,2023-12-02,Claim Rejected - User Damage,493.75
CUST-68153,SKU-APP-MBA-M2,Screen Flicker / Dead Pixels,Magic Keyboard,2023-12-22,Claim Rejected - User Damage,343.49
CUST-48452,SKU-SAM-GS23U-512,Battery Drain / Rapid Discharge,5000mAh Battery,2022-11-29,Battery Replacement,215.28
CUST-84177,SKU-DYS-V15-DETECT,Wireless Connectivity Loss,HEPA Filtration Cylinder,2022-09-08,Screen Assembly Swapped,78.65
CUST-91226,SKU-SAM-GS23U-512,Thermal Throttling / Overheating,Snapdragon 8 Gen 2 Board,2023-09-17,Battery Replacement,233.13
CUST-43289,SKU-SON-WH1000-M5,Water Seal Compromise,30-hour Battery,2022-08-26,Screen Assembly Swapped,43.91
CUST-30706,SKU-NIN-SWITCH-OLED,Battery Drain / Rapid Discharge,Joy-Con Rail Controls,2022-10-22,Unit Replaced Under Warranty,64.98
CUST-65615,SKU-APP-MBA-M2,Camera Sensor Artifacts,Magic Keyboard,2022-11-03,Component Cleaned & Re-calibrated,258.21
CUST-23979,SKU-DEL-XPS15-9530,Noisy Motor / Bearing Friction,86Wh Battery Module,2023-01-29,Screen Assembly Swapped,566.87
CUST-48696,SKU-SON-WH1000-M5,Water Seal Compromise,30-hour Battery,2023-08-12,Refurbished Board Soldered,37.13
CUST-16428,SKU-APP-IP14P-256,Noisy Motor / Bearing Friction,Titanium Frame,2023-08-03,Battery Replacement,252.51
CUST-38705,SKU-CAN-EOS-R6M2,Noisy Motor / Bearing Friction,EVF Display Module,2023-09-14,Screen Assembly Swapped,433.18
CUST-27927,SKU-SON-WH1000-M5,Noisy Motor / Bearing Friction,Integrated Microphone Array,2023-11-07,Claim Rejected - User Damage,52.92
CUST-27224,SKU-APP-MBA-M2,Noisy Motor / Bearing Friction,M2 SoC Logic Board,2022-02-04,Unit Replaced Under Warranty,236.54
CUST-27322,SKU-APP-MBA-M2,Camera Sensor Artifacts,52.6Wh Battery,2023-03-02,Claim Rejected - User Damage,89.11
CUST-43681,SKU-BOS-WASH-SER8,Drifting Analog Stick,AquaStop Safety Valve,2022-10-07,Component Cleaned & Re-calibrated,213.52
CUST-28449,SKU-NIN-SWITCH-OLED,Camera Sensor Artifacts,Joy-Con Rail Controls,2023-04-25,Battery Replacement,81.81
CUST-11824,SKU-SON-WH1000-M5,Drifting Analog Stick,30-hour Battery,2022-04-03,Refurbished Board Soldered,57.42
CUST-98125,SKU-DEL-XPS15-9530,Screen Flicker / Dead Pixels,Carbon Fiber Palmrest,2023-01-13,Unit Replaced Under Warranty,452.25
CUST-40647,SKU-DEL-XPS15-9530,Wireless Connectivity Loss,Carbon Fiber Palmrest,2023-01-16,Claim Rejected - User Damage,93.8
CUST-39015,SKU-NIN-SWITCH-OLED,Water Seal Compromise,7-inch OLED Display,2022-12-02,Component Cleaned & Re-calibrated,79.0
CUST-15943,SKU-APP-MBA-M2,Noisy Motor / Bearing Friction,Magic Keyboard,2023-02-23,Claim Rejected - User Damage,67.59
CUST-80457,SKU-APP-IP14P-256,Physical Port Corruption,A16 Bionic Logic Board,2022-04-10,Battery Replacement,86.75
CUST-80804,SKU-SAM-GS23U-512,Physical Port Corruption,S-Pen Digitizer,2023-11-18,Refurbished Board Soldered,251.9
CUST-74139,SKU-LG-OLED65-C3,Thermal Throttling / Overheating,Magical Remote Sensor,2023-11-02,Unit Replaced Under Warranty,68.87
CUST-68115,SKU-CAN-EOS-R6M2,Noisy Motor / Bearing Friction,EVF Display Module,2023-12-08,Battery Replacement,213.6
CUST-94518,SKU-NIN-SWITCH-OLED,Camera Sensor Artifacts,Tegra X1 System Board,2023-12-04,Battery Replacement,46.67
CUST-69600,SKU-DYS-V15-DETECT,Wireless Connectivity Loss,Hyperdymium Motor,2022-07-14,Refurbished Board Soldered,122.79
CUST-41925,SKU-APP-MBA-M2,Water Seal Compromise,Liquid Retina Panel,2022-02-21,Battery Replacement,312.18
CUST-38305,SKU-SAM-GS23U-512,Logic Board Power Failure,200MP Camera Sensor,2023-07-22,Battery Replacement,74.51
CUST-28964,SKU-SON-WH1000-M5,Thermal Throttling / Overheating,Soft Fit Leather Earpads,2022-01-03,Component Cleaned & Re-calibrated,36.37
CUST-13379,SKU-SAM-GS23U-512,Noisy Motor / Bearing Friction,200MP Camera Sensor,2022-04-23,Screen Assembly Swapped,182.99
CUST-32838,SKU-SAM-GS23U-512,Camera Sensor Artifacts,Dynamic AMOLED 2X Screen,2023-08-26,Screen Assembly Swapped,102.38
CUST-18330,SKU-DEL-XPS15-9530,Thermal Throttling / Overheating,Intel i9-13900H Board,2023-03-08,Claim Rejected - User Damage,359.06
CUST-76039,SKU-NIN-SWITCH-OLED,Camera Sensor Artifacts,4310mAh Battery,2023-08-31,Component Cleaned & Re-calibrated,31.43
CUST-70036,SKU-SON-WH1000-M5,Battery Drain / Rapid Discharge,Integrated Microphone Array,2023-11-06,Claim Rejected - User Damage,46.38
CUST-74260,SKU-APP-IP14P-256,Physical Port Corruption,Lithium-Ion Battery,2023-03-13,Unit Replaced Under Warranty,205.44
CUST-26540,SKU-NIN-SWITCH-OLED,Screen Flicker / Dead Pixels,7-inch OLED Display,2023-09-15,Refurbished Board Soldered,33.75
CUST-88301,SKU-DEL-XPS15-9530,Water Seal Compromise,Carbon Fiber Palmrest,2023-12-31,Component Cleaned & Re-calibrated,231.49
CUST-24996,SKU-BOS-WASH-SER8,Physical Port Corruption,AquaStop Safety Valve,2023-09-12,Component Cleaned & Re-calibrated,122.66
CUST-69441,SKU-BOS-WASH-SER8,Wireless Connectivity Loss,VarioDrum Stainless Tub,2022-08-22,Unit Replaced Under Warranty,118.94
CUST-43408,SKU-LG-OLED65-C3,Screen Flicker / Dead Pixels,Power Supply Unit,2023-03-14,Refurbished Board Soldered,163.45
CUST-22219,SKU-DYS-V15-DETECT,Physical Port Corruption,Laser Slim Fluffy Cleaner Head,2022-04-04,Battery Replacement,109.01
CUST-83608,SKU-LG-OLED65-C3,Camera Sensor Artifacts,65-inch Self-lit OLED Panel,2023-07-24,Screen Assembly Swapped,51.57
CUST-65435,SKU-BOS-WASH-SER8,Screen Flicker / Dead Pixels,AquaStop Safety Valve,2022-12-29,Unit Replaced Under Warranty,223.31
CUST-76507,SKU-APP-IP14P-256,Water Seal Compromise,A16 Bionic Logic Board,2022-12-27,Refurbished Board Soldered,52.25
CUST-82910,SKU-SON-WH1000-M5,Physical Port Corruption,Dual Noise Canceling Chips,2022-04-21,Screen Assembly Swapped,39.35
CUST-83526,SKU-DYS-V15-DETECT,Noisy Motor / Bearing Friction,Hyperdymium Motor,2022-08-20,Component Cleaned & Re-calibrated,106.53
CUST-45054,SKU-CAN-EOS-R6M2,Drifting Analog Stick,Magnesium Alloy Frame,2023-09-16,Battery Replacement,497.9
CUST-56009,SKU-APP-IP14P-256,Noisy Motor / Bearing Friction,OLED Display Assembly,2022-11-13,Claim Rejected - User Damage,267.36
CUST-28595,SKU-APP-IP14P-256,Thermal Throttling / Overheating,OLED Display Assembly,2023-11-05,Component Cleaned & Re-calibrated,130.41
CUST-54681,SKU-APP-IP14P-256,Drifting Analog Stick,Lithium-Ion Battery,2023-01-21,Screen Assembly Swapped,135.42
CUST-84395,SKU-SAM-GS23U-512,Noisy Motor / Bearing Friction,5000mAh Battery,2022-11-29,Claim Rejected - User Damage,210.66
CUST-16522,SKU-CAN-EOS-R6M2,Battery Drain / Rapid Discharge,24.2MP CMOS Full-Frame Sensor,2022-06-11,Screen Assembly Swapped,409.01
CUST-67939,SKU-APP-MBA-M2,Physical Port Corruption,52.6Wh Battery,2023-03-11,Claim Rejected - User Damage,202.27
CUST-24534,SKU-LG-OLED65-C3,Logic Board Power Failure,40W 2.2 Ch Speaker Array,2022-04-27,Component Cleaned & Re-calibrated,177.91
CUST-38903,SKU-DEL-XPS15-9530,Physical Port Corruption,Carbon Fiber Palmrest,2023-11-15,Component Cleaned & Re-calibrated,220.85
CUST-37686,SKU-LG-OLED65-C3,Battery Drain / Rapid Discharge,Magical Remote Sensor,2022-07-29,Battery Replacement,158.53
CUST-66446,SKU-SAM-GS23U-512,Noisy Motor / Bearing Friction,5000mAh Battery,2022-05-03,Refurbished Board Soldered,26.85
CUST-83233,SKU-SAM-GS23U-512,Wireless Connectivity Loss,Snapdragon 8 Gen 2 Board,2023-12-22,Component Cleaned & Re-calibrated,80.0
CUST-70260,SKU-DYS-V15-DETECT,Wireless Connectivity Loss,Hyperdymium Motor,2022-02-13,Claim Rejected - User Damage,69.06
CUST-93904,SKU-APP-MBA-M2,Water Seal Compromise,52.6Wh Battery,2023-08-11,Unit Replaced Under Warranty,172.61
CUST-32527,SKU-LG-OLED65-C3,Screen Flicker / Dead Pixels,40W 2.2 Ch Speaker Array,2022-01-22,Unit Replaced Under Warranty,453.03
CUST-41891,SKU-CAN-EOS-R6M2,Camera Sensor Artifacts,EVF Display Module,2023-03-24,Battery Replacement,454.84
CUST-50668,SKU-LG-OLED65-C3,Wireless Connectivity Loss,Magical Remote Sensor,2022-03-22,Component Cleaned & Re-calibrated,200.32
CUST-24945,SKU-DYS-V15-DETECT,Camera Sensor Artifacts,Laser Slim Fluffy Cleaner Head,2022-03-20,Screen Assembly Swapped,76.56
CUST-94599,SKU-BOS-WASH-SER8,Logic Board Power Failure,Heavy Weight Ballast Block,2022-12-26,Refurbished Board Soldered,190.12
CUST-88957,SKU-SAM-GS23U-512,Screen Flicker / Dead Pixels,Snapdragon 8 Gen 2 Board,2022-09-20,Screen Assembly Swapped,72.15
CUST-83889,SKU-SAM-GS23U-512,Thermal Throttling / Overheating,Dynamic AMOLED 2X Screen,2023-05-21,Claim Rejected - User Damage,135.88
CUST-52363,SKU-CAN-EOS-R6M2,Water Seal Compromise,EVF Display Module,2023-10-13,Claim Rejected - User Damage,527.14
CUST-49691,SKU-DYS-V15-DETECT,Physical Port Corruption,Laser Slim Fluffy Cleaner Head,2023-04-26,Battery Replacement,69.66
CUST-70521,SKU-DEL-XPS15-9530,Battery Drain / Rapid Discharge,Carbon Fiber Palmrest,2023-06-04,Refurbished Board Soldered,72.11
CUST-21835,SKU-NIN-SWITCH-OLED,Battery Drain / Rapid Discharge,7-inch OLED Display,2022-10-21,Refurbished Board Soldered,29.53
CUST-15376,SKU-CAN-EOS-R6M2,Drifting Analog Stick,Magnesium Alloy Frame,2023-04-19,Unit Replaced Under Warranty,320.39
CUST-29773,SKU-NIN-SWITCH-OLED,Logic Board Power Failure,Docking Station Mainboard,2023-09-12,Refurbished Board Soldered,53.06
CUST-32617,SKU-APP-IP14P-256,Screen Flicker / Dead Pixels,Titanium Frame,2022-03-28,Refurbished Board Soldered,157.7
CUST-30807,SKU-APP-IP14P-256,Physical Port Corruption,OLED Display Assembly,2023-06-21,Unit Replaced Under Warranty,162.48
CUST-98984,SKU-DYS-V15-DETECT,Noisy Motor / Bearing Friction,HEPA Filtration Cylinder,2023-02-23,Unit Replaced Under Warranty,103.22
CUST-98916,SKU-CAN-EOS-R6M2,Camera Sensor Artifacts,24.2MP CMOS Full-Frame Sensor,2022-12-04,Battery Replacement,73.1
CUST-88997,SKU-LG-OLED65-C3,Noisy Motor / Bearing Friction,40W 2.2 Ch Speaker Array,2023-11-04,Claim Rejected - User Damage,452.23
CUST-55851,SKU-SAM-GS23U-512,Screen Flicker / Dead Pixels,5000mAh Battery,2023-11-11,Component Cleaned & Re-calibrated,58.8
CUST-50577,SKU-DEL-XPS15-9530,Thermal Throttling / Overheating,86Wh Battery Module,2023-12-27,Component Cleaned & Re-calibrated,620.63
CUST-99838,SKU-BOS-WASH-SER8,Camera Sensor Artifacts,Digital Touch Control Board,2023-11-18,Screen Assembly Swapped,184.54
CUST-50483,SKU-BOS-WASH-SER8,Wireless Connectivity Loss,EcoSilence Drive Motor,2023-01-06,Component Cleaned & Re-calibrated,29.14
CUST-28030,SKU-SAM-GS23U-512,Camera Sensor Artifacts,Snapdragon 8 Gen 2 Board,2022-07-16,Unit Replaced Under Warranty,79.14
CUST-79013,SKU-SAM-GS23U-512,Noisy Motor / Bearing Friction,Dynamic AMOLED 2X Screen,2023-06-04,Battery Replacement,209.24
CUST-31266,SKU-APP-IP14P-256,Water Seal Compromise,A16 Bionic Logic Board,2023-09-04,Screen Assembly Swapped,124.08
CUST-57749,SKU-SAM-GS23U-512,Thermal Throttling / Overheating,200MP Camera Sensor,2023-03-25,Claim Rejected - User Damage,35.44
CUST-41348,SKU-SON-WH1000-M5,Water Seal Compromise,30-hour Battery,2023-04-05,Refurbished Board Soldered,34.59
CUST-67749,SKU-DEL-XPS15-9530,Logic Board Power Failure,86Wh Battery Module,2023-11-26,Refurbished Board Soldered,626.43
CUST-31241,SKU-NIN-SWITCH-OLED,Wireless Connectivity Loss,Joy-Con Rail Controls,2023-06-25,Component Cleaned & Re-calibrated,49.7
CUST-58655,SKU-SON-WH1000-M5,Thermal Throttling / Overheating,Integrated Microphone Array,2022-02-23,Refurbished Board Soldered,51.29
CUST-31012,SKU-BOS-WASH-SER8,Drifting Analog Stick,EcoSilence Drive Motor,2022-10-19,Battery Replacement,44.04
CUST-39102,SKU-DEL-XPS15-9530,Drifting Analog Stick,86Wh Battery Module,2023-03-24,Screen Assembly Swapped,83.24
CUST-59015,SKU-NIN-SWITCH-OLED,Battery Drain / Rapid Discharge,Joy-Con Rail Controls,2022-02-24,Unit Replaced Under Warranty,48.39
CUST-22987,SKU-SON-WH1000-M5,Screen Flicker / Dead Pixels,30-hour Battery,2022-08-18,Refurbished Board Soldered,26.16
CUST-71925,SKU-DYS-V15-DETECT,Thermal Throttling / Overheating,Laser Slim Fluffy Cleaner Head,2022-10-21,Battery Replacement,117.66
CUST-12490,SKU-SAM-GS23U-512,Physical Port Corruption,S-Pen Digitizer,2022-01-06,Component Cleaned & Re-calibrated,241.5
CUST-24573,SKU-DEL-XPS15-9530,Thermal Throttling / Overheating,NVIDIA RTX 4070 GPU,2023-09-16,Component Cleaned & Re-calibrated,360.13
CUST-93748,SKU-DEL-XPS15-9530,Noisy Motor / Bearing Friction,NVIDIA RTX 4070 GPU,2022-02-18,Battery Replacement,176.41
CUST-12154,SKU-CAN-EOS-R6M2,Screen Flicker / Dead Pixels,EVF Display Module,2023-05-27,Battery Replacement,328.74
CUST-10205,SKU-BOS-WASH-SER8,Logic Board Power Failure,Heavy Weight Ballast Block,2022-05-28,Claim Rejected - User Damage,91.12
CUST-97584,SKU-CAN-EOS-R6M2,Logic Board Power Failure,5-axis In-Body Stabilizer,2023-03-03,Component Cleaned & Re-calibrated,120.34
