SKU,Product,Manufacturer,Category,Component,Manufacturing Cost,Production Date,Country,Supplier,Carbon Footprint,Weight,Material,Warranty Period,Warranty Claims,Failure Rate
SKU-NIN-SWITCH-OLED,Nintendo Switch OLED Model,Nintendo,Gaming,Joy-Con Rail Controls,35.74,2022-04-15,China,Samsung SDI,5.87,44.9,Lithium,12,260,0.0476
SKU-NIN-SWITCH-OLED,Nintendo Switch OLED Model,Nintendo,Gaming,4310mAh Battery,26.22,2023-08-14,China,Foxconn Tech,3.51,61.3,Plastic,12,142,0.0299
SKU-NIN-SWITCH-OLED,Nintendo Switch OLED Model,Nintendo,Gaming,Docking Station Mainboard,42.6,2022-11-15,China,TSMC Semiconductor,4.61,108.8,Glass,12,125,0.0757
SKU-BOS-WASH-SER8,Series 8 Front Load Washer,Bosch,Home Appliances,EcoSilence Drive Motor,53.24,2023-07-01,Taiwan,LG Display,90.03,11284.8,Stainless Steel,36,399,0.0523
SKU-BOS-WASH-SER8,Series 8 Front Load Washer,Bosch,Home Appliances,VarioDrum Stainless Tub,108.59,2022-12-05,United States,TSMC Semiconductor,68.68,15574.9,Concrete Ballast,36,657,0.0734
SKU-BOS-WASH-SER8,Series 8 Front Load Washer,Bosch,Home Appliances,AquaStop Safety Valve,86.48,2022-10-12,China,Samsung SDI,69.62,5950.4,Rubber,36,436,0.064
SKU-BOS-WASH-SER8,Series 8 Front Load Washer,Bosch,Home Appliances,Digital Touch Control Board,88.39,2023-01-30,Japan,Foxconn Tech,101.28,17011.2,Copper,36,131,0.0178
SKU-BOS-WASH-SER8,Series 8 Front Load Washer,Bosch,Home Appliances,Heavy Weight Ballast Block,80.77,2023-05-05,United States,Kyocera Components,89.98,14409.1,Stainless Steel,36,51,0.0129
SKU-CAN-EOS-R6M2,EOS R6 Mark II Mirrorless Body,Canon,Cameras,24.2MP CMOS Full-Frame Sensor,240.76,2021-08-04,Japan,LG Display,22.8,117.6,Magnesium Alloy,24,219,0.0492
SKU-CAN-EOS-R6M2,EOS R6 Mark II Mirrorless Body,Canon,Cameras,DIGIC X Image Processor Board,125.16,2023-06-05,Taiwan,Nidec Motor,25.08,85.6,Optical Glass,24,82,0.0389
SKU-CAN-EOS-R6M2,EOS R6 Mark II Mirrorless Body,Canon,Cameras,5-axis In-Body Stabilizer,238.05,2023-04-02,Germany,Nidec Motor,23.97,98.5,Engineering Plastic,24,157,0.0211
SKU-CAN-EOS-R6M2,EOS R6 Mark II Mirrorless Body,Canon,Cameras,EVF Display Module,97.62,2023-06-13,China,LG Display,19.45,89.7,Magnesium Alloy,24,288,0.0743
SKU-CAN-EOS-R6M2,EOS R6 Mark II Mirrorless Body,Canon,Cameras,Magnesium Alloy Frame,94.27,2021-08-17,China,Kyocera Components,14.7,113.0,Optical Glass,24,578,0.0705
