SKU,Product,Manufacturer,Category,Component,manufacturing_cost_usd,production_date,Country,Supplier,carbon_footprint_kg,Weight,Material,warranty_period_months,warranty_claims_count,failure_rate,_ingested_at,_source_file,failure_component,claim_count,avg_repair_cost_usd,total_repair_cost_usd,repair_cost_ratio,repairability_index
SKU-SAM-GS23U-512,Galaxy S23 Ultra 512GB,Samsung,Smartphones,Dynamic AMOLED 2X Screen,144.44,2021-08-05,Mexico,Sony Semiconductor,15.59,64.1,Armor Aluminum,24,134,0.0249,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Dynamic AMOLED 2X Screen,192,139.79,26838.93,0.97,8.08
SKU-SAM-GS23U-512,Galaxy S23 Ultra 512GB,Samsung,Smartphones,Snapdragon 8 Gen 2 Board,73.14,2021-05-27,Mexico,Nidec Motor,11.54,54.2,Gorilla Glass Victus 2,24,178,0.0284,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Snapdragon 8 Gen 2 Board,192,145.63,27960.329999999998,1.99,8.08
SKU-SAM-GS23U-512,Galaxy S23 Ultra 512GB,Samsung,Smartphones,5000mAh Battery,68.13,2022-01-06,Germany,Samsung SDI,21.03,50.9,Cobalt,24,12,0.0164,2026-07-20T17:18:34.029424,manufacturing_bom.csv,5000mAh Battery,197,139.56,27492.82,2.05,8.03
SKU-SAM-GS23U-512,Galaxy S23 Ultra 512GB,Samsung,Smartphones,S-Pen Digitizer,61.6,2022-10-05,Vietnam,Murata Electronics,17.02,56.4,Recycled Plastics,24,236,0.0369,2026-07-20T17:18:34.029424,manufacturing_bom.csv,S-Pen Digitizer,218,145.39,31694.52,2.36,7.82
SKU-SAM-GS23U-512,Galaxy S23 Ultra 512GB,Samsung,Smartphones,200MP Camera Sensor,104.85,2023-09-22,China,Kyocera Components,20.33,61.7,Armor Aluminum,24,104,0.018,2026-07-20T17:18:34.029424,manufacturing_bom.csv,200MP Camera Sensor,166,149.55,24825.6,1.43,8.34
SKU-SON-WH1000-M5,WH-1000XM5 Wireless Headphones,Sony,Audio,30mm Driver Units,19.07,2021-04-25,China,Samsung SDI,2.73,20.2,ABS Plastic,12,463,0.0605,2026-07-20T17:18:34.029424,manufacturing_bom.csv,30mm Driver Units,178,44.94,7999.1,2.36,8.22
SKU-SON-WH1000-M5,WH-1000XM5 Wireless Headphones,Sony,Audio,Dual Noise Canceling Chips,36.1,2022-06-04,South Korea,Samsung SDI,5.09,40.1,Synthetic Leather,12,356,0.0547,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Dual Noise Canceling Chips,218,44.19,9632.44,1.22,7.82
SKU-SON-WH1000-M5,WH-1000XM5 Wireless Headphones,Sony,Audio,Soft Fit Leather Earpads,31.97,2022-01-18,Taiwan,Sony Semiconductor,3.99,72.6,Neodymium Magnet,12,14,0.0471,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Soft Fit Leather Earpads,186,46.25,8602.86,1.45,8.14
SKU-SON-WH1000-M5,WH-1000XM5 Wireless Headphones,Sony,Audio,30-hour Battery,14.08,2021-01-20,United States,LG Display,3.41,86.5,ABS Plastic,12,182,0.0665,2026-07-20T17:18:34.029424,manufacturing_bom.csv,30-hour Battery,190,44.7,8493.64,3.17,8.1
SKU-SON-WH1000-M5,WH-1000XM5 Wireless Headphones,Sony,Audio,Integrated Microphone Array,26.6,2023-06-19,Japan,Samsung SDI,2.47,69.4,Synthetic Leather,12,542,0.0671,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Integrated Microphone Array,209,43.76,9146.18,1.65,7.91
SKU-DEL-XPS15-9530,XPS 15 Laptop i9 32GB,Dell,Laptops,Intel i9-13900H Board,240.7,2022-11-07,South Korea,LG Display,61.31,291.0,CNC Machined Aluminum,36,328,0.0711,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Intel i9-13900H Board,197,332.38,65477.99,1.38,8.03
SKU-DEL-XPS15-9530,XPS 15 Laptop i9 32GB,Dell,Laptops,NVIDIA RTX 4070 GPU,195.72,2023-01-01,Vietnam,TSMC Semiconductor,83.76,490.5,Carbon Fiber,36,227,0.0407,2026-07-20T17:18:34.029424,manufacturing_bom.csv,NVIDIA RTX 4070 GPU,217,333.01,72262.93,1.7,7.83
SKU-DEL-XPS15-9530,XPS 15 Laptop i9 32GB,Dell,Laptops,4K OLED Touch Display,171.79,2021-09-11,United States,TSMC Semiconductor,50.64,458.6,Copper Heatpipes,36,66,0.0261,2026-07-20T17:18:34.029424,manufacturing_bom.csv,4K OLED Touch Display,200,340.96,68191.66,1.98,8.0
SKU-DEL-XPS15-9530,XPS 15 Laptop i9 32GB,Dell,Laptops,86Wh Battery Module,283.55,2022-12-26,South Korea,Murata Electronics,45.14,623.0,CNC Machined Aluminum,36,71,0.0702,2026-07-20T17:18:34.029424,manufacturing_bom.csv,86Wh Battery Module,204,330.16,67352.18,1.16,7.96
SKU-DEL-XPS15-9530,XPS 15 Laptop i9 32GB,Dell,Laptops,Carbon Fiber Palmrest,243.49,2022-11-17,Vietnam,LG Display,60.78,528.6,Carbon Fiber,36,445,0.0718,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Carbon Fiber Palmrest,225,322.98,72671.33,1.33,7.75
SKU-DYS-V15-DETECT,V15 Detect Cordless Vacuum,Dyson,Home Appliances,Hyperdymium Motor,45.83,2023-03-15,Mexico,Nidec Motor,8.12,327.0,Polycarbonate,24,219,0.0561,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Hyperdymium Motor,234,77.23,18071.07,1.69,7.66
SKU-DYS-V15-DETECT,V15 Detect Cordless Vacuum,Dyson,Home Appliances,Laser Slim Fluffy Cleaner Head,66.35,2022-04-24,Mexico,Kyocera Components,5.45,794.9,ABS Plastic,24,50,0.0552,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Laser Slim Fluffy Cleaner Head,195,74.84,14593.7,1.13,8.05
SKU-DYS-V15-DETECT,V15 Detect Cordless Vacuum,Dyson,Home Appliances,HEPA Filtration Cylinder,66.24,2023-03-31,Japan,Murata Electronics,6.92,407.2,Aluminum Tube,24,191,0.0414,2026-07-20T17:18:34.029424,manufacturing_bom.csv,HEPA Filtration Cylinder,199,79.83,15886.65,1.21,8.01
SKU-DYS-V15-DETECT,V15 Detect Cordless Vacuum,Dyson,Home Appliances,7-cell Click-in Battery,34.11,2022-04-19,Germany,Foxconn Tech,12.02,618.9,Polycarbonate,24,416,0.0703,2026-07-20T17:18:34.029424,manufacturing_bom.csv,7-cell Click-in Battery,206,78.66,16204.75,2.31,7.94
SKU-DYS-V15-DETECT,V15 Detect Cordless Vacuum,Dyson,Home Appliances,Cyclonic Dust Bin,73.46,2022-10-30,South Korea,Samsung SDI,11.36,1059.0,ABS Plastic,24,671,0.0748,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Cyclonic Dust Bin,199,77.45,15411.93,1.05,8.01
SKU-LG-OLED65-C3,OLED65 C3 4K Smart TV,LG Electronics,Televisions,65-inch Self-lit OLED Panel,172.7,2022-02-21,United States,Nidec Motor,49.13,3125.5,Composite Fiber,24,58,0.0141,2026-07-20T17:18:34.029424,manufacturing_bom.csv,65-inch Self-lit OLED Panel,209,253.48,52976.44,1.47,7.91
SKU-LG-OLED65-C3,OLED65 C3 4K Smart TV,LG Electronics,Televisions,alpha9 AI Processor Gen6 Board,258.67,2021-09-29,Vietnam,Samsung SDI,81.01,2606.5,Glass,24,457,0.0588,2026-07-20T17:18:34.029424,manufacturing_bom.csv,alpha9 AI Processor Gen6 Board,191,230.18,43965.22,0.89,8.09
SKU-LG-OLED65-C3,OLED65 C3 4K Smart TV,LG Electronics,Televisions,40W 2.2 Ch Speaker Array,135.86,2021-07-14,Taiwan,Foxconn Tech,91.25,3923.9,Steel Chassis,24,381,0.048,2026-07-20T17:18:34.029424,manufacturing_bom.csv,40W 2.2 Ch Speaker Array,214,231.45,49530.73,1.7,7.86
SKU-LG-OLED65-C3,OLED65 C3 4K Smart TV,LG Electronics,Televisions,Power Supply Unit,191.91,2021-02-21,Germany,Samsung SDI,65.26,5149.9,Composite Fiber,24,115,0.021,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Power Supply Unit,214,242.33,51859.28,1.26,7.86
SKU-LG-OLED65-C3,OLED65 C3 4K Smart TV,LG Electronics,Televisions,Magical Remote Sensor,194.03,2021-03-12,South Korea,Foxconn Tech,74.88,2382.2,Glass,24,112,0.0184,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Magical Remote Sensor,209,240.07,50173.84,1.24,7.91
SKU-NIN-SWITCH-OLED,Nintendo Switch OLED Model,Nintendo,Gaming,7-inch OLED Display,16.87,2022-09-27,South Korea,Kyocera Components,6.32,97.7,Plastic,12,95,0.0321,2026-07-20T17:18:34.029424,manufacturing_bom.csv,7-inch OLED Display,214,51.71,11065.93,3.07,7.86
SKU-NIN-SWITCH-OLED,Nintendo Switch OLED Model,Nintendo,Gaming,Tegra X1 System Board,23.3,2021-09-02,Germany,Foxconn Tech,3.8,106.8,Glass,12,335,0.042,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Tegra X1 System Board,188,56.51,10623.22,2.43,8.12
SKU-NIN-SWITCH-OLED,Nintendo Switch OLED Model,Nintendo,Gaming,Joy-Con Rail Controls,35.74,2022-04-15,China,Samsung SDI,5.87,44.9,Lithium,12,260,0.0476,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Joy-Con Rail Controls,182,54.64,9944.62,1.53,8.18
SKU-NIN-SWITCH-OLED,Nintendo Switch OLED Model,Nintendo,Gaming,4310mAh Battery,26.22,2023-08-14,China,Foxconn Tech,3.51,61.3,Plastic,12,142,0.0299,2026-07-20T17:18:34.029424,manufacturing_bom.csv,4310mAh Battery,212,53.94,11434.31,2.06,7.88
SKU-NIN-SWITCH-OLED,Nintendo Switch OLED Model,Nintendo,Gaming,Docking Station Mainboard,42.6,2022-11-15,China,TSMC Semiconductor,4.61,108.8,Glass,12,125,0.0757,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Docking Station Mainboard,200,56.46,11292.52,1.33,8.0
SKU-BOS-WASH-SER8,Series 8 Front Load Washer,Bosch,Home Appliances,EcoSilence Drive Motor,53.24,2023-07-01,Taiwan,LG Display,90.03,11284.8,Stainless Steel,36,399,0.0523,2026-07-20T17:18:34.029424,manufacturing_bom.csv,EcoSilence Drive Motor,214,134.12,28701.01,2.52,7.86
SKU-BOS-WASH-SER8,Series 8 Front Load Washer,Bosch,Home Appliances,VarioDrum Stainless Tub,108.59,2022-12-05,United States,TSMC Semiconductor,68.68,15574.9,Concrete Ballast,36,657,0.0734,2026-07-20T17:18:34.029424,manufacturing_bom.csv,VarioDrum Stainless Tub,181,139.66,25279.02,1.29,8.19
SKU-BOS-WASH-SER8,Series 8 Front Load Washer,Bosch,Home Appliances,AquaStop Safety Valve,86.48,2022-10-12,China,Samsung SDI,69.62,5950.4,Rubber,36,436,0.064,2026-07-20T17:18:34.029424,manufacturing_bom.csv,AquaStop Safety Valve,191,135.48,25876.55,1.57,8.09
SKU-BOS-WASH-SER8,Series 8 Front Load Washer,Bosch,Home Appliances,Digital Touch Control Board,88.39,2023-01-30,Japan,Foxconn Tech,101.28,17011.2,Copper,36,131,0.0178,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Digital Touch Control Board,200,140.11,28021.16,1.59,8.0
SKU-BOS-WASH-SER8,Series 8 Front Load Washer,Bosch,Home Appliances,Heavy Weight Ballast Block,80.77,2023-05-05,United States,Kyocera Components,89.98,14409.1,Stainless Steel,36,51,0.0129,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Heavy Weight Ballast Block,207,141.79,29350.19,1.76,7.93
SKU-CAN-EOS-R6M2,EOS R6 Mark II Mirrorless Body,Canon,Cameras,24.2MP CMOS Full-Frame Sensor,240.76,2021-08-04,Japan,LG Display,22.8,117.6,Magnesium Alloy,24,219,0.0492,2026-07-20T17:18:34.029424,manufacturing_bom.csv,24.2MP CMOS Full-Frame Sensor,181,282.91,51207.05,1.18,8.19
SKU-CAN-EOS-R6M2,EOS R6 Mark II Mirrorless Body,Canon,Cameras,DIGIC X Image Processor Board,125.16,2023-06-05,Taiwan,Nidec Motor,25.08,85.6,Optical Glass,24,82,0.0389,2026-07-20T17:18:34.029424,manufacturing_bom.csv,DIGIC X Image Processor Board,204,280.75,57272.18,2.24,7.96
SKU-CAN-EOS-R6M2,EOS R6 Mark II Mirrorless Body,Canon,Cameras,5-axis In-Body Stabilizer,238.05,2023-04-02,Germany,Nidec Motor,23.97,98.5,Engineering Plastic,24,157,0.0211,2026-07-20T17:18:34.029424,manufacturing_bom.csv,5-axis In-Body Stabilizer,193,279.47,53937.87,1.17,8.07
SKU-CAN-EOS-R6M2,EOS R6 Mark II Mirrorless Body,Canon,Cameras,EVF Display Module,97.62,2023-06-13,China,LG Display,19.45,89.7,Magnesium Alloy,24,288,0.0743,2026-07-20T17:18:34.029424,manufacturing_bom.csv,EVF Display Module,196,290.33,56904.77,2.97,8.04
SKU-CAN-EOS-R6M2,EOS R6 Mark II Mirrorless Body,Canon,Cameras,Magnesium Alloy Frame,94.27,2021-08-17,China,Kyocera Components,14.7,113.0,Optical Glass,24,578,0.0705,2026-07-20T17:18:34.029424,manufacturing_bom.csv,Magnesium Alloy Frame,203,298.96,60689.8,3.17,7.97
